english,malay,category
Concentrate,menumpukan perhatian,everyday
Concern,kebimbangan,everyday
Confirm,mengesahkan,everyday
Conflict,konflik,everyday
Connect,menyambung,everyday
Consider,pertimbangkan,everyday
Consist,terdiri,everyday
Consult,berunding,everyday
Contact,kenalan,everyday
Contain,mengandungi,everyday
Content,kandungan,everyday
Contest,pertandingan,everyday
Continue,teruskan,everyday
Contribute,menyumbang,everyday
Convert,menukar,everyday
Convince,meyakinkan,everyday
Cook,masak,everyday
Copy,salinan,everyday
Correct,betul,everyday
Cost,kos,everyday
Could,boleh,everyday
Count,mengira,everyday
Counter,kaunter,everyday
Couple,pasangan,everyday
Cover,penutup,everyday
Crack,retak,everyday
Craft,kerajinan,everyday
Crash,kemalangan,everyday
Create,cipta,everyday
Credit,kredit,everyday
Crew,anak kapal,everyday
Criticize,mengkritik,everyday
Cross,menyeberang,everyday
Cry,menangis,everyday
Curve,lengkung,everyday
Cut,potong,everyday
Cycle,kitaran,everyday
Damage,kerosakan,everyday
Dance,menari,everyday
Dare,berani,everyday
Date,Tarikh,everyday
Deal,perjanjian,everyday
Debate,perbahasan,everyday
Decide,memutuskan,everyday
Delay,kelewatan,everyday
Deliver,menyampaikan,everyday
Demand,permintaan,everyday
Deny,menafikan,everyday
Depend,bergantung,everyday
Describe,huraikan,everyday
Deserve,layak,everyday
Design,reka bentuk,everyday
Desire,keinginan,everyday
Destroy,memusnahkan,everyday
Determine,tentukan,everyday
Develop,membangun,everyday
Die,mati,everyday
Differ,berbeza,everyday
Dig,menggali,everyday
Disagree,tidak bersetuju,everyday
Disappear,hilang,everyday
Disappoint,mengecewakan,everyday
Discipline,disiplin,everyday
Discount,diskaun,everyday
Discover,menemui,everyday
Discuss,berbincang,everyday
Display,paparan,everyday
Distance,jarak,everyday
Distribute,mengedarkan,everyday
Divide,bahagikan,everyday
Do,buat,everyday
Does,melakukan,everyday
Doubt,keraguan,everyday
Draft,draf,everyday
Drag,seret,everyday
Draw,melukis,everyday
Dream,mimpi,everyday
Dress,berpakaian,everyday
Drink,minum,everyday
Drive,memandu,everyday
Drop,jatuhkan,everyday
Dry,kering,everyday
Earn,peroleh,everyday
Ease,memudahkan,everyday
Eat,makan,everyday
Effect,kesan,everyday
Emphasize,menekankan,everyday
Employ,menggaji,everyday
Encourage,menggalakkan,everyday
End,tamat,everyday
Engage,terlibat,everyday
Enhance,mempertingkatkan,everyday
Enjoy,nikmatilah,everyday
Ensure,memastikan,everyday
Enter,masuk,everyday
Escape,melarikan diri,everyday
Essay,karangan,everyday
Establish,menubuhkan,everyday
Estimate,anggaran,everyday
Examine,meneliti,everyday
Exchange,pertukaran,everyday
Excuse,alasan,everyday
Exercise,senaman,everyday
Exist,wujud,everyday
Expand,mengembang,everyday
Expect,jangkakan,everyday
Experience,pengalaman,everyday
Explain,terangkan,everyday
Explore,meneroka,everyday
Expose,dedahkan,everyday
Express,ekspres,everyday
Extend,memanjangkan,everyday
Face,muka,everyday
Fail,gagal,everyday
Fall,jatuh,everyday
Fear,rasa takut,everyday
Feed,suapan,everyday
Feel,rasa,everyday
Fight,bergaduh,everyday
Fill,isi,everyday
Find,cari,everyday
Finish,selesai,everyday
Firm,tegas,everyday
Fit,sesuai,everyday
Fix,menetapkan,everyday
Flow,aliran,everyday
Fly,terbang,everyday
Focus,fokus,everyday
Fold,lipat,everyday
Follow,ikut,everyday
Foot,kaki,everyday
Force,memaksa,everyday
Forget,lupa,everyday
Forgive,maafkan,everyday
Form,bentuk,everyday
Frame,bingkai,everyday
Freeze,membekukan,everyday
Fry,goreng,everyday
Gain,keuntungan,everyday
Gap,jurang,everyday
Gather,berkumpul,everyday
Generate,menjana,everyday
Get,dapatkan,everyday
Give,memberi,everyday
Glove,sarung tangan,everyday
Go,pergi,everyday
Grow,membesar,everyday
Guarantee,jaminan,everyday
Guard,pengawal,everyday
Guess,meneka,everyday
Guide,panduan,everyday
Handle,mengendalikan,everyday
Hang,gantung,everyday
Happen,berlaku,everyday
Harm,mudarat,everyday
Has,mempunyai,everyday
Hate,benci,everyday
Have,mempunyai,everyday
Hear,dengar,everyday
Heat,haba,everyday
Help,membantu,everyday
Hesitate,teragak-agak,everyday
Hide,bersembunyi,everyday
Highlight,sorotan,everyday
Hire,mengupah,everyday
Hit,pukul,everyday
Hold,tahan,everyday
Hope,harapan,everyday
Host,tuan rumah,everyday
Hunt,memburu,everyday
Hurry,cepat,everyday
Hurt,mencederakan,everyday
Identify,mengenalpasti,everyday
Ignore,abai,everyday
Illustrate,menggambarkan,everyday
Imagine,bayangkan,everyday
Impact,kesan,everyday
Implement,melaksanakan,everyday
Imply,membayangkan,everyday
Impress,menarik perhatian,everyday
Improve,bertambah baik,everyday
Include,termasuk,everyday
Incorporate,menggabungkan,everyday
Increase,meningkat,everyday
Indicate,menunjukkan,everyday
Influence,pengaruh,everyday
Inform,maklumkan,everyday
Insist,menegaskan,everyday
Install,pasang,everyday
Intend,berniat,everyday
Interest,minat,everyday
Interview,temuduga,everyday
Introduce,memperkenalkan,everyday
Invest,melabur,everyday
Investigate,menyiasat,everyday
Invite,jemput,everyday
Involve,melibatkan,everyday
Iron,besi,everyday
Jog,berjoging,everyday
Join,sertai,everyday
Joke,jenaka,everyday
Judge,Hakim,everyday
Jump,melompat,everyday
Jury,juri,everyday
Justify,mewajarkan,everyday
Keep,simpan,everyday
Kick,tendang,everyday
Kid,budak,everyday
Kill,bunuh,everyday
Kiss,ciuman,everyday
Knit,mengait,everyday
Know,tahu,everyday
Lack,kekurangan,everyday
Land,tanah,everyday
Last,terakhir,everyday
Laugh,ketawa,everyday
Lay,berbaring,everyday
Layer,lapisan,everyday
Lead,memimpin,everyday
Learn,belajar,everyday
Leave,pergi,everyday
Lend,meminjamkan,everyday
Let,biarkan,everyday
Lie,berbohong,everyday
Lift,lif,everyday
Light,ringan,everyday
Like,suka,everyday
Limit,had,everyday
Line,barisan,everyday
Lip,bibir,everyday
List,senarai,everyday
Listen,dengar,everyday
Live,hidup,everyday
Load,memuatkan,everyday
Lock,kunci,everyday
Log,log,everyday
Look,tengok,everyday
Loose,longgar,everyday
Lose,kalah,everyday
Lost,hilang,everyday
Love,cinta,everyday
Mail,mel,everyday
Maintain,mengekalkan,everyday
Make,buat,everyday
Manage,mengurus,everyday
Manufacturing,pembuatan,everyday
Mark,tanda,everyday
Marry,kahwin,everyday
Match,perlawanan,everyday
Matter,perkara,everyday
Mean,bermakna,everyday
Measure,mengukur,everyday
Meet,berjumpa,everyday
Mention,menyebut,everyday
Mind,fikiran,everyday
Miss,rindu,everyday
Mistake,kesilapan,everyday
Mix,campurkan,everyday
Move,bergerak,everyday
Must,mesti,everyday
Need,perlukan,everyday
Neglect,pengabaian,everyday
Negotiate,berunding,everyday
Nerve,saraf,everyday
Note,Nota,everyday
Notice,notis,everyday
Number,nombor,everyday
Obtain,memperolehi,everyday
Occur,berlaku,everyday
Offer,tawaran,everyday
Open,buka,everyday
Operate,beroperasi,everyday
Order,pesanan,everyday
Organize,menyusun,everyday
Ought,sepatutnya,everyday
Overcome,mengatasi,everyday
Overtake,memotong,everyday
Owe,berhutang,everyday
Own,sendiri,everyday
Pack,pek,everyday
Paint,cat,everyday
Park,taman,everyday
Participate,mengambil bahagian,everyday
Pass,lulus,everyday
Pattern,corak,everyday
Pause,jeda,everyday
Pay,bayar,everyday
Perfect,sempurna,everyday
Perform,melaksanakan,everyday
Permit,izin,everyday
Persuade,memujuk,everyday
Pick,pilih,everyday
Pin,pin,everyday
Pitch,padang,everyday
Place,tempat,everyday
Plan,rancangan,everyday
Plant,tumbuhan,everyday
Plate,pinggan,everyday
Play,bermain,everyday
Please,tolonglah,everyday
Pop,pop,everyday
Possess,memiliki,everyday
Post,jawatan,everyday
Pot,periuk,everyday
Pound,pon,everyday
Pour,tuangkan,everyday
Practice,berlatih,everyday
Pray,berdoa,everyday
Prefer,lebih suka,everyday
Prepare,sediakan,everyday
Press,tekan,everyday
Pretend,berpura-pura,everyday
Prevent,mencegah,everyday
Pride,kebanggaan,everyday
Print,cetak,everyday
Process,proses,everyday
Produce,menghasilkan,everyday
Promise,janji,everyday
Prompt,segera,everyday
Propose,meminang,everyday
Protect,melindungi,everyday
Prove,buktikan,everyday
Provide,menyediakan,everyday
Pull,tarik,everyday
Punch,menumbuk,everyday
Purchase,pembelian,everyday
Purpose,tujuan,everyday
Pursue,kejar,everyday
Push,menolak,everyday
Put,letak,everyday
Qualify,layak,everyday
Quit,berhenti,everyday
Quote,petikan,everyday
Race,bangsa,everyday
Rain,hujan,everyday
Raise,menaikkan,everyday
Range,julat,everyday
Rate,kadar,everyday
Reach,capai,everyday
React,bertindak balas,everyday
Read,membaca,everyday
Realize,sedar,everyday
Receive,menerima,everyday
Recognize,mengenali,everyday
Recommend,mengesyorkan,everyday
Record,rekod,everyday
Recover,pulih,everyday
Reduce,kurangkan,everyday
Refer,rujuk,everyday
Reflect,merenung,everyday
Refuse,menolak,everyday
Register,mendaftar,everyday
Regret,penyesalan,everyday
Relax,berehat,everyday
Release,lepaskan,everyday
Relieve,melegakan,everyday
Rely,bergantung harap,everyday
Remain,kekal,everyday
Remember,ingat,everyday
Remind,ingatkan,everyday
Remove,keluarkan,everyday
Rent,sewa,everyday
Repair,pembaikan,everyday
Repeat,ulang,everyday
Replace,menggantikan,everyday
Reply,balas,everyday
Report,laporan,everyday
Represent,mewakili,everyday
Request,permintaan,everyday
Require,memerlukan,everyday
Research,penyelidikan,everyday
Reserve,simpanan,everyday
Resist,melawan,everyday
Resolve,azam,everyday
Resort,tempat peranginan,everyday
Respect,hormat,everyday
Respond,membalas,everyday
Rest,berehat,everyday
Result,hasil,everyday
Retain,mengekalkan,everyday
Retire,bersara,everyday
Return,kembali,everyday
Reveal,mendedahkan,everyday
Review,semakan,everyday
Reward,ganjaran,everyday
Ride,menaiki,everyday
Ring,cincin,everyday
Rise,bangkit,everyday
Risk,risiko,everyday
Run,lari,everyday
Rush,tergesa-gesa,everyday
Sail,belayar,everyday
Save,jimat,everyday
Say,katakan,everyday
Search,cari,everyday
Seat,tempat duduk,everyday
See,lihat,everyday
Seek,mencari,everyday
Seem,nampak,everyday
Select,pilih,everyday
Sell,jual,everyday
Send,hantar,everyday
Separate,berasingan,everyday
Service,perkhidmatan,everyday
Settle,menyelesaikan,everyday
Shake,goncang,everyday
Shall,hendaklah,everyday
Share,kongsi,everyday
Shine,bersinar,everyday
Ship,kapal,everyday
Shock,terkejut,everyday
Show,tunjuk,everyday
Sign,tanda,everyday
Size,saiz,everyday
Sleep,tidur,everyday
Smell,bau,everyday
Smile,senyum,everyday
Smoke,asap,everyday
Solve,selesaikan,everyday
Sound,bunyi,everyday
Speed,kelajuan,everyday
Spell,mengeja,everyday
Spend,berbelanja,everyday
Split,berpecah,everyday
Sport,sukan,everyday
Spot,tempat,everyday
Spray,semburan,everyday
Spread,sebar,everyday
Spring,musim bunga,everyday
Stable,stabil,everyday
Stage,pentas,everyday
Stand,berdiri,everyday
Start,mulakan,everyday
Stay,tinggal,everyday
Step,langkah,everyday
Stop,berhenti,everyday
Store,kedai,everyday
Stretch,regangan,everyday
Struggle,perjuangan,everyday
Study,belajar,everyday
Submit,serahkan,everyday
Succeed,berjaya,everyday
Supply,bekalan,everyday
Support,sokongan,everyday
Surprise,kejutan,everyday
Survive,bertahan,everyday
Swim,berenang,everyday
Take,ambil,everyday
Talk,bercakap,everyday
Taste,rasa,everyday
Tax,cukai,everyday
Teach,mengajar,everyday
Tell,beritahu,everyday
Think,fikir,everyday
Throw,melontar,everyday
Touch,sentuh,everyday
Trade,perdagangan,everyday
Traffic,lalu lintas,everyday
Train,kereta api,everyday
Travel,melancong,everyday
Trouble,masalah,everyday
Trust,amanah,everyday
Try,cubalah,everyday
Turn,pusing,everyday
Type,menaip,everyday
Upset,kecewa,everyday
Vacuum,vakum,everyday
Value,nilai,everyday
Visit,melawat,everyday
Wait,tunggu,everyday
Walk,Jalan,everyday
Wall,dinding,everyday
Want,mahu,everyday
War,peperangan,everyday
Wash,basuh,everyday
Waste,membazir,everyday
Wear,pakai,everyday
Win,menang,everyday
Wish,keinginan,everyday
Wonder,tertanya-tanya,everyday
Worry,risau,everyday
Would,akan,everyday
Write,menulis,everyday

hello,helo,everyday
good morning,selamat pagi,everyday
good afternoon,selamat tengah hari,everyday
good evening,selamat petang,everyday
good night,selamat malam,everyday
welcome,selamat datang,everyday
goodbye,selamat tinggal,everyday
see you,jumpa lagi,everyday
thank you,terima kasih,everyday
you're welcome,sama-sama,everyday
please,tolong,everyday
sorry,maaf,everyday
excuse me,maafkan saya,everyday
never mind,tak apa,everyday
of course,sudah tentu,everyday
yes,ya,everyday
no,tidak,everyday
not,bukan,everyday
maybe,mungkin,everyday
correct,betul,everyday
wrong,salah,everyday
okay,okay,everyday
sure,pasti,everyday
what,apa,everyday
where,mana,everyday
when,bila,everyday
who,siapa,everyday
how,bagaimana,everyday
why,kenapa,everyday
which,yang mana,everyday
how much,berapa,everyday
how many,berapa banyak,everyday
I,saya,everyday
you,awak,everyday
you (polite),encik/puan,everyday
he,dia,everyday
she,dia,everyday
we,kami,everyday
they,mereka,everyday
this,ini,everyday
that,itu,everyday
patient,pesakit,everyday
nurse,jururawat,everyday
doctor,doktor,everyday
staff,kakitangan,everyday
caregiver,penjaga,everyday
family,keluarga,everyday
father,bapa,everyday
mother,ibu,everyday
son,anak lelaki,everyday
daughter,anak perempuan,everyday
child,anak,everyday
wife,isteri,everyday
husband,suami,everyday
grandchild,cucu,everyday
grandfather,datuk,everyday
grandmother,nenek,everyday
brother,abang,everyday
sister,kakak,everyday
friend,kawan,everyday
person,orang,everyday
name,nama,everyday
pain,sakit,everyday
it hurts,rasa sakit,everyday
ache,sengal,everyday
tired,penat,everyday
weak,lemah,everyday
dizzy,pening,everyday
uncomfortable,tidak selesa,everyday
comfortable,selesa,everyday
better,lebih baik,everyday
worse,lebih teruk,everyday
afraid,takut,everyday
worried,risau,everyday
sad,sedih,everyday
happy,gembira,everyday
angry,marah,everyday
cold,sejuk,everyday
hot,panas,everyday
warm,suam,everyday
hungry,lapar,everyday
thirsty,haus,everyday
sleepy,mengantuk,everyday
itchy,gatal,everyday
numb,kebas,everyday
nauseous,loya,everyday
breathless,sesak nafas,everyday
head,kepala,everyday
hair,rambut,everyday
face,muka,everyday
eye,mata,everyday
ear,telinga,everyday
nose,hidung,everyday
mouth,mulut,everyday
tooth,gigi,everyday
tongue,lidah,everyday
lip,bibir,everyday
throat,tekak,everyday
neck,leher,everyday
shoulder,bahu,everyday
chest,dada,everyday
heart,jantung,everyday
lung,paru-paru,everyday
stomach,perut,everyday
back,belakang,everyday
waist,pinggang,everyday
arm,lengan,everyday
elbow,siku,everyday
hand,tangan,everyday
finger,jari,everyday
leg,kaki,everyday
thigh,peha,everyday
knee,lutut,everyday
foot,tapak kaki,everyday
skin,kulit,everyday
bone,tulang,everyday
blood,darah,everyday
eat,makan,everyday
drink,minum,everyday
sleep,tidur,everyday
wake up,bangun,everyday
wash,cuci,everyday
bathe,mandi,everyday
toilet,tandas,everyday
urinate,kencing,everyday
defecate,berak,everyday
brush teeth,gosok gigi,everyday
get dressed,pakai baju,everyday
change clothes,tukar baju,everyday
sit,duduk,everyday
stand,berdiri,everyday
walk,berjalan,everyday
lie down,baring,everyday
rest,rehat,everyday
move,gerak,everyday
turn over,pusing badan,everyday
help,bantu,everyday
support,sokong,everyday
carry,dukung,everyday
feed,suap,everyday
water,air,everyday
hot water,air panas,everyday
cold water,air sejuk,everyday
tea,teh,everyday
coffee,kopi,everyday
rice,nasi,everyday
porridge,bubur,everyday
soup,sup,everyday
milk,susu,everyday
bread,roti,everyday
egg,telur,everyday
fruit,buah,everyday
vegetable,sayur,everyday
sugar,gula,everyday
salt,garam,everyday
medicine,ubat,everyday
meal,makanan,everyday
breakfast,sarapan,everyday
lunch,makan tengah hari,everyday
dinner,makan malam,everyday
snack,makanan ringan,everyday
spoon,sudu,everyday
fork,garpu,everyday
cup,cawan,everyday
plate,pinggan,everyday
bowl,mangkuk,everyday
bottle,botol,everyday
straw,penyedut minuman,everyday
bed,katil,everyday
chair,kerusi,everyday
table,meja,everyday
wheelchair,kerusi roda,everyday
walker,alat bantu berjalan,everyday
cane,tongkat,everyday
pillow,bantal,everyday
blanket,selimut,everyday
bedsheet,cadar,everyday
clothes,baju,everyday
diaper,lampin,everyday
towel,tuala,everyday
glasses,cermin mata,everyday
call button,butang panggilan,everyday
light,lampu,everyday
fan,kipas,everyday
door,pintu,everyday
window,tingkap,everyday
room,bilik,everyday
bathroom,bilik air,everyday
floor,lantai,everyday
wall,dinding,everyday
today,hari ini,everyday
tomorrow,esok,everyday
yesterday,semalam,everyday
now,sekarang,everyday
later,nanti,everyday
soon,sekejap lagi,everyday
just now,tadi,everyday
already,sudah,everyday
not yet,belum,everyday
always,selalu,everyday
sometimes,kadang-kadang,everyday
morning,pagi,everyday
noon,tengah hari,everyday
afternoon,petang,everyday
evening,senja,everyday
night,malam,everyday
day,hari,everyday
week,minggu,everyday
month,bulan,everyday
year,tahun,everyday
minute,minit,everyday
hour,jam,everyday
second,saat,everyday
time,masa,everyday
Monday,Isnin,everyday
Tuesday,Selasa,everyday
Wednesday,Rabu,everyday
Thursday,Khamis,everyday
Friday,Jumaat,everyday
Saturday,Sabtu,everyday
Sunday,Ahad,everyday
home,rumah,everyday
hospital,hospital,everyday
clinic,klinik,everyday
ward,wad,everyday
nursing home,rumah jagaan,everyday
kitchen,dapur,everyday
outside,luar,everyday
come,mari,everyday
go,pergi,everyday
give,beri,everyday
take,ambil,everyday
want,mahu,everyday
need,perlu,everyday
can,boleh,everyday
cannot,tidak boleh,everyday
wait,tunggu,everyday
stop,berhenti,everyday
open,buka,everyday
close,tutup,everyday
look,tengok,everyday
listen,dengar,everyday
call,panggil,everyday
feel,rasa,everyday
breathe,bernafas,everyday
cough,batuk,everyday
sneeze,bersin,everyday
swallow,telan,everyday
fall,jatuh,everyday
hold,pegang,everyday
push,tolak,everyday
pull,tarik,everyday
try,cuba,everyday
know,tahu,everyday
understand,faham,everyday
speak,cakap,everyday
ask,tanya,everyday
remember,ingat,everyday
forget,lupa,everyday
big,besar,everyday
small,kecil,everyday
good,bagus,everyday
bad,teruk,everyday
more,lebih,everyday
less,kurang,everyday
enough,cukup,everyday
clean,bersih,everyday
dirty,kotor,everyday
full,penuh,everyday
empty,kosong,everyday
fast,laju,everyday
slow,perlahan,everyday
new,baru,everyday
old,lama,everyday
young,muda,everyday
painful,menyakitkan,everyday
dangerous,bahaya,everyday
safe,selamat,everyday
heavy,berat,everyday
light (weight),ringan,everyday
soft,lembut,everyday
hard,keras,everyday
easy,senang,everyday
difficult,susah,everyday
up,atas,everyday
down,bawah,everyday
left,kiri,everyday
right,kanan,everyday
here,sini,everyday
there,sana,everyday
inside,dalam,everyday
outside (position),luar,everyday
front,depan,everyday
back (position),belakang,everyday
near,dekat,everyday
far,jauh,everyday
beside,sebelah,everyday
between,antara,everyday
zero,kosong,number
one,satu,number
two,dua,number
three,tiga,number
four,empat,number
five,lima,number
six,enam,number
seven,tujuh,number
eight,lapan,number
nine,sembilan,number
ten,sepuluh,number
eleven,sebelas,number
twelve,dua belas,number
thirteen,tiga belas,number
fourteen,empat belas,number
fifteen,lima belas,number
sixteen,enam belas,number
seventeen,tujuh belas,number
eighteen,lapan belas,number
nineteen,sembilan belas,number
twenty,dua puluh,number
thirty,tiga puluh,number
forty,empat puluh,number
fifty,lima puluh,number
sixty,enam puluh,number
seventy,tujuh puluh,number
eighty,lapan puluh,number
ninety,sembilan puluh,number
one hundred,seratus,number
one thousand,seribu,number
point (decimal),perpuluhan,number
percent,peratus,number
slash/over (BP),garis miring,number
and,dan,number
half,setengah,number
degree (temperature),darjah,number
